id,is_deleted,master_record_id,name,type,record_type_id,parent_id,billingaddress,billingcity,billingcountry,billingcountrycode,billinggeocodeaccuracy,billinglatitude,billinglongitude,billingphonenumber,billingpostalcode,billingstate,billingstatecode,billingstreet,billing_geocode_accuracy,shippingaddress,shippingcity,shippingcountry,shippingcountrycode,shippinggeocodeaccuracy,shippinglatitude,shippinglongitude,shippingphonenumber,shippingpostalcode,shippingstate,shippingstatecode,shippingstreet,shipping_geocode_accuracy,phone,website,photo_url,industry,number_of_employees,description,owner_id,created_date,created_by_id,last_modified_date,last_modified_by_id,system_modstamp,last_activity_date,last_viewed_date,last_referenced_date,jigsaw,jigsaw_company_id,account_source,ownership,annual_revenue,account_number
4e102008-4f45-437d-92d9-9529b5d8b1b6,True,8c18d536-6cd1-41ad-86c2-92b573be9b6b,"Hicks, Caldwell and Valenzuela",customer - channel,d573dcbf-50fb-4ed7-80ba-76eb381b9eaf,6869db4b-2a9a-42f1-8468-5cf7a2bd44b0,"92647 Mary Meadow
Hillfurt, NC 39501",East Josephmouth,Egypt,LI,address,-88.439507,-3.098233,5767149350,22686,Utah,PW,821 Nathan Keys Apt. 704,city,"Unit 6175 Box 8839
DPO AP 54629",West Lisa,New Zealand,GT,extendedzip,-77.945749,-168.665861,+1-205-640-6368x4983,36122,West Virginia,WY,7387 Joshua Coves Apt. 677,block,987-424-7715,http://williams.com/,https://dummyimage.com/564x715,machinery,1955,"Loss hold know baby Democrat read. Green age physical century science whatever prepare which.
Policy reveal well with news threat. Medical pass rich difference.",74c0fb86-ee8d-4595-9c9f-bfbcfa290b87,2022-08-31,a6366f19-ab4e-48b2-9a9a-86ed47d3fcb9,2023-04-26T17:47:21.298234,5153c893-9347-4bac-98d7-5e1e09c4cfd0,2020-04-10T00:45:13.154895,2024-06-16T12:10:16.036268,2024-06-17T22:12:50.423995,2024-06-14T08:10:32.657516,789642,360381,other,subsidiary,8630240.03,469208
991c3f91-ef64-48f9-ac86-7bb6e1307ffc,False,31a17844-2e84-4afc-b3c9-54db395bec7d,"Allen, Moon and May",other,0e1a99c1-ef98-4c59-886f-0f04d30ee645,91e3911b-14ab-42b8-a6d3-bedcb239e553,"1587 Danielle Valleys
North Andre, FL 72431",North Terriville,Montenegro,QA,county,19.905855,-171.349465,+1-449-566-7364x6120,59024,Missouri,ND,623 Alexis Curve Suite 583,extendedzip,"100 Jessica Vista Suite 972
Leemouth, GA 75782",Harrisonhaven,Seychelles,AF,country,-39.5003235,101.556456,(858)692-1267x5722,40500,Maine,NY,53202 Best Wall,city,288-909-7723x31774,http://www.keller-baker.com/,https://dummyimage.com/226x213,entertainment,8053,"Test woman type hard management. Long somebody contain bring. Quite response see floor.
Major answer front cut much. Partner expect chance west north design.",e6abfb73-f530-44b8-98ea-5d6ba36f9c1f,2023-10-31,d57c8708-4950-456c-b3f6-fd817d545483,2024-02-10T08:40:20.349417,246b60db-021e-4a0f-8310-46c8fbbbe8eb,2020-12-06T23:25:03.964044,2024-06-08T01:07:09.702898,2024-06-07T23:54:26.768039,2024-06-08T06:35:32.500313,816771,834972,phone inquiry,public,5269019.6,954759
726fd5b5-08d1-40fa-bab0-0a5b13a289bc,True,b8b6faed-8636-4966-a1fb-c63ca18a1849,"Hooper, Hall and Dickerson",other,ef6f9bd2-d6c5-4b4c-af7a-ddf6ae6262e2,c46cdeee-a3e9-4330-a401-70c69af523dc,"907 Willie Mountains
West Vanessa, FM 93265",Mauriceberg,Barbados,TD,country,-76.1537355,-48.253646,247-493-8059x16702,15901,Missouri,MH,265 Roger Circle,state,"USCGC Cole
FPO AA 04033",New Jasonhaven,Cameroon,BR,zip,40.359611,-99.166964,675.352.1961,09548,Arizona,VA,765 Hudson Valleys Apt. 588,address,214-363-6757x59653,https://young.com/,https://picsum.photos/415/44,consulting,5922,Traditional war window professor thus. Direction star word cover fine purpose. Loss approach should quite green accept.,f3fb0d9c-98bf-4279-94fc-344709c404a9,2023-09-17,5c502000-2411-465d-a058-ddf8585a8f0e,2024-04-03T03:03:36.483923,ff6283b8-7410-47da-99ab-aeed077e046c,2023-11-11T11:03:46.151528,2024-06-09T13:56:52.022637,2024-06-04T10:07:41.149728,2024-06-02T02:57:15.691971,657144,465994,partner referral,subsidiary,3886640.81,500966
9ce9ae8d-84c4-4d48-ab1b-155d9955f0d5,False,a14fb781-66a8-4c25-ae4b-13ebd8bd3283,Bell Group,installation partner,a32f0346-fcf6-4859-bf58-59ca19446435,d9d5c431-cf3f-47ec-89f1-14b19c9ce37b,"1996 Pennington Village
North Angela, LA 29933",North Cindy,Isle of Man,LC,address,82.599271,-90.809799,5895580737,09738,Arkansas,ID,15814 Nicholson Unions,zip,"61833 Kelli Court Suite 412
North Gregorychester, AK 38584",New Danielshire,Greece,CU,nearaddress,-27.0186025,-117.199805,+1-265-374-9025x15002,42060,Rhode Island,CA,95292 Austin Bridge Suite 892,country,001-215-284-6009x3132,https://rice-pierce.com/,https://dummyimage.com/572x496,consulting,3197,"Spend door movement improve between. Treatment attention which week professional. Level fly task between ability these change.
Writer last single artist. Phone billion every let best generation.",829d2300-4fb3-44fd-becb-9a43ab066fde,2023-12-13,8adfe1e3-430d-47da-8f12-0880ad80ebea,2024-03-18T02:43:10.286064,5cce5f92-0b18-4c2a-8465-bed1c1d06e5b,2020-09-25T05:43:59.969328,2024-06-07T03:12:59.480734,2024-06-15T15:43:08.269110,2024-06-18T07:44:37.696644,265761,264229,web,public,7735255.4,324611
beed8388-9998-49fb-8eaa-8eebe4dc91f7,False,80304876-2873-4c76-89ce-b11fe3d2d04d,Morales-West,technology partner,aff9b391-a236-4b6b-b6dc-2795b7a6be59,3e40ef8f-9de9-4013-9ee0-994058668f1d,"353 Nicole Turnpike Suite 463
Port Stevefort, FL 90077",New Jillianfort,Belarus,AZ,county,37.325149,-95.242866,483-946-7562x066,92096,Illinois,OR,6734 Mckenzie Point,neighborhood,"PSC 3847, Box 8945
APO AE 96985",West Madison,Afghanistan,MD,street,-73.0066605,-90.777271,001-496-534-0866x7990,41281,Oklahoma,MO,119 Anderson Locks Apt. 966,neighborhood,(355)599-9685x1100,http://howard.net/,https://placekitten.com/629/921,insurance,4565,"Institution lawyer through than single drive tonight small. Foot stuff base effort only training certainly end.
Seven official show PM. Away else able parent morning can.",d6988ba5-73e9-4f1d-9790-d4bdf28b1bcf,2022-09-10,86afc34f-07e8-4c33-a3f2-e7b9127daf3d,2022-10-30T12:20:49.043707,3e9782bf-c1d4-4d82-95a3-f4f50654c165,2020-01-01T05:18:29.665936,2024-06-03T18:05:50.452610,2024-06-07T12:08:54.519349,2024-06-01T22:30:59.490692,635549,861279,other,private,4337459.38,411894
8d60d16e-3b8c-471a-aeac-40a7c0dabbc7,False,d05a3d9a-8210-4fe5-9a02-4bb0eaaf70b0,Anderson-Orr,customer - channel,857e7967-0268-4834-9fee-a25893adf070,96e9c86e-4194-43e4-855b-6759743bc008,"35442 Harrison Stravenue
Powellchester, VT 45572",Port Nancy,Tuvalu,NG,block,29.687181,-98.768661,(614)796-5933x6197,94520,New Hampshire,MH,892 Kayla Bypass Apt. 255,extendedzip,"99718 Kristen Ferry Suite 998
Lewisfurt, KY 19293",Greenemouth,Guam,CO,block,5.4505005,-151.338095,902-663-5679x875,58819,Montana,DE,6828 Adam Walk,address,542.890.3074x34188,http://www.medina.com/,https://dummyimage.com/833x487,consulting,4688,"Close statement standard trial seem.
Employee total discussion occur. Door spring get model modern hold office. Sound election commercial education center own positive.",9bbdd2e1-7dc8-4438-a271-1c3016c1e442,2022-09-22,f16e5351-7bd4-4116-8df1-9da3587f640f,2023-08-28T04:42:27.416443,f4e0cf8d-f486-4702-878e-3e73eed01516,2020-06-18T20:14:52.493431,2024-06-02T02:28:57.444856,2024-06-02T03:19:49.844621,2024-06-05T18:34:03.909105,810773,626284,phone inquiry,subsidiary,6785146.09,317868
8b7eca86-9421-4452-83ae-fc59314e70d8,False,3e0062c1-6056-4507-a815-51e1152df358,"Taylor, Evans and Smith",other,a43198a9-5824-44f1-9723-27c44ef0c4be,4f3a7142-b79c-4b53-95ac-1edc9fb54048,"PSC 3104, Box 3730
APO AA 33669",North Michaelton,South Africa,BR,city,-80.853082,159.399170,001-395-705-6732,96397,Connecticut,OK,650 Torres Stravenue Suite 711,nearaddress,"413 Bradley Ridges
Markmouth, OH 73008",Tylerside,Lesotho,SM,country,48.327227,137.404434,(583)813-8275,16644,Virginia,AS,3356 Donna Cliffs,zip,+1-552-219-0370x66991,https://www.bell.com/,https://picsum.photos/335/512,education,3473,Nation health within future respond officer ever claim. Mean sea guy class center task safe.,71c0fdcd-ce39-424b-aa15-284705695067,2022-08-19,b85b802c-db03-45bf-9f1b-531c5a4aef73,2024-03-03T09:44:36.747611,96dc9134-0fb4-4146-836c-d21bd399c269,2022-11-10T12:20:37.621043,2024-06-04T03:27:09.750092,2024-06-16T16:17:04.202648,2024-06-16T05:55:30.681611,665774,367531,phone inquiry,public,7457811.59,231454
42290838-11c5-433e-88aa-92090b078d6e,False,4fe7aaa3-e1fe-4828-9d9b-e11f883aa43a,Martin and Sons,installation partner,d40308fa-1bdd-4f36-bb2f-9c16c499ce1f,9a2bf394-2dd9-44cf-aaab-3b4c62585910,"8407 Martinez Ways
West Dale, MN 44394",South Lauratown,Czech Republic,MA,zip,-62.2107535,85.381764,205.355.9601x507,54057,Wyoming,NC,0936 Scott Hollow,country,"75796 Christopher Shore Suite 970
South Krista, TX 76080",Carrillomouth,Mauritania,BR,state,45.073033,-78.623529,553-865-8414x2138,35197,Wisconsin,MA,00376 Brown Street Apt. 897,zip,989.893.7955x46828,http://smith-price.com/,https://picsum.photos/632/997,retail,3162,"Population whole great wonder child seven rule. Worry southern official beat positive itself.
Chance out whom political.",ea4de942-4da9-4cd2-b623-6b3f036719d6,2022-12-08,139ab07c-ad41-4bf0-8705-67d36b429578,2024-04-14T00:49:19.555405,c1a427c6-c83a-45f5-ac4e-730801198e76,2022-07-19T14:42:46.558256,2024-06-09T22:06:46.595421,2024-06-18T09:40:31.243625,2024-06-14T10:22:44.555291,817200,994245,web,private,8655623.64,111889
e2bb1495-dfff-4b4c-9206-e6d326523705,False,b039a087-6ab5-4120-9f92-f9dd9426523e,"Kent, Stokes and Benitez",customer - channel,308f8517-b03f-4be3-8d70-b3bafb32ecef,327e2cc5-2dba-4783-a4f9-2a484a842cd4,"354 Elizabeth Place
East Reginaldburgh, NV 60881",Kingbury,Netherlands Antilles,NL,address,30.1618685,-89.424218,596-710-5382x1654,64555,Delaware,GA,5605 Debra Track Suite 499,country,"73590 Albert Islands
North Donna, FM 31714",East Karen,Cayman Islands,MA,zip,-27.756927,-59.110587,001-723-735-5313x535,65353,Hawaii,FL,43128 Duffy River Suite 928,zip,(653)466-7390x524,http://www.thomas.com/,https://placekitten.com/96/130,consulting,4140,"Expert available early myself nature. Sea performance me close again this.
Memory sometimes plan receive. Agree perform south natural garden allow majority.",aa40788c-b57f-4727-b087-b0440d4742bd,2023-11-27,ded49f8f-0ff7-4624-b29b-1a5b9c22666f,2024-01-31T22:21:00.458800,b1802ab8-c600-4692-845f-cf7c78edd6e2,2020-09-08T19:41:49.649325,2024-06-07T22:47:05.411760,2024-06-11T10:34:03.096192,2024-06-01T22:34:32.756406,566128,768285,web,other,4653158.67,562736
3e4e4a24-03b4-4d14-ae7a-9cbcfbdf6159,True,fafb9ff4-cf8b-46f4-ac73-94c37f187e33,Rojas PLC,technology partner,ed5909e3-7339-4051-b1a8-60fd2e8b5344,61814f2e-6c49-42b8-a49a-c5f8795ae16e,"1965 Rowe Springs Suite 144
Mendezville, VA 36975",Jordanview,Vanuatu,BN,extendedzip,-36.501481,152.697680,435.214.8744x120,74556,Illinois,MO,36970 Lopez Ramp Suite 289,county,"039 Dean Harbor Apt. 616
Thompsonside, ID 15400",Lake Juanfort,Maldives,KG,street,51.835817,-122.478731,549-786-0787,64617,Wyoming,OR,229 Benjamin Manors Suite 348,country,(812)558-9361x38678,http://www.mccarty-singh.com/,https://dummyimage.com/405x782,healthcare,1038,"Nation upon mind land thousand. Claim deep pattern significant.
Wind listen fight nothing project. Light since make oil rich bring to.",3e4ca7ef-62b5-4a21-98d3-715fb710eef2,2023-10-25,48bdd91e-7e2a-475c-b29b-d25ed967ba70,2024-01-14T05:33:22.927488,2be237f4-5e23-4b8c-89e0-6cfc0997b546,2020-05-20T06:04:38.985799,2024-06-18T19:45:36.629628,2024-06-14T20:43:17.834065,2024-06-08T14:51:25.040048,801200,423808,phone inquiry,other,3840518.05,154399
